%
%
%

@RELATION UCI_German

@ATTRIBUTE A1	{A11,A12,A13,A14}
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	{A31,A32,A33,A34,A35}
@ATTRIBUTE A4	{A41,A42,A43,A44,A45,A46,A47,A48,A49,A410,A411}
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	{A61,A62,A63,A64,A65}
@ATTRIBUTE A7	{A71,A72,A73,A74,A75}
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	{A91,A92,A93,A94,A95}
@ATTRIBUTE A10	{A101,A102,A103}
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	{A121,A122,A123,A124}
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	{A141,A142,A143}
@ATTRIBUTE A15	{A151,A152,A153}
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	{A171,A172,A173,A174}
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	{A191,A192}
@ATTRIBUTE A20	{A201,A202}
@ATTRIBUTE class	{0,1}

@DATA
A14,9.0,A35,A41,2134.0,A61,A73,4.0,A93,A101,4.0,A123,48.0,A143,A152,3.0,A173,1.0,A192,A201,0
A11,6.0,A33,A44,2647.0,A63,A73,2.0,A93,A101,3.0,A121,44.0,A143,A151,1.0,A173,2.0,A191,A201,0
A11,10.0,A35,A41,2241.0,A61,A72,1.0,A93,A101,3.0,A121,48.0,A143,A151,2.0,A172,2.0,A191,A202,0
A12,12.0,A35,A42,1804.0,A62,A72,3.0,A93,A101,4.0,A122,44.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,10.0,A35,A43,2069.0,A65,A73,2.0,A94,A101,1.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A202,0
A11,6.0,A33,A43,1374.0,A61,A73,1.0,A93,A101,2.0,A121,36.0,A141,A152,1.0,A172,1.0,A192,A201,0
A14,6.0,A31,A44,426.0,A61,A75,4.0,A94,A101,4.0,A123,39.0,A143,A152,1.0,A172,1.0,A191,A201,0
A13,12.0,A32,A44,409.0,A64,A73,3.0,A92,A101,3.0,A121,42.0,A143,A151,2.0,A173,1.0,A191,A201,0
A12,7.0,A33,A44,2415.0,A61,A73,3.0,A93,A103,2.0,A121,34.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,60.0,A34,A410,6836.0,A61,A75,3.0,A93,A101,4.0,A124,63.0,A143,A152,2.0,A173,1.0,A192,A201,1
A12,18.0,A33,A410,1913.0,A64,A72,3.0,A94,A101,3.0,A121,36.0,A141,A152,1.0,A173,1.0,A192,A201,0
A11,24.0,A33,A43,4020.0,A61,A73,2.0,A93,A101,2.0,A123,27.0,A142,A152,1.0,A173,1.0,A191,A201,0
A12,18.0,A33,A41,5866.0,A62,A73,2.0,A93,A101,2.0,A123,30.0,A143,A152,2.0,A173,1.0,A192,A201,0
A14,12.0,A35,A410,1264.0,A65,A75,4.0,A93,A101,4.0,A124,57.0,A143,A151,1.0,A172,1.0,A191,A201,0
A13,12.0,A33,A43,1474.0,A61,A72,4.0,A92,A101,1.0,A122,33.0,A141,A152,1.0,A174,1.0,A192,A201,0
A12,45.0,A35,A44,4746.0,A61,A72,4.0,A93,A101,2.0,A122,25.0,A143,A152,2.0,A172,1.0,A191,A201,1
A14,48.0,A35,A47,6110.0,A61,A73,1.0,A93,A101,3.0,A124,31.0,A141,A153,1.0,A173,1.0,A192,A201,0
A13,18.0,A33,A44,2100.0,A61,A73,4.0,A93,A102,2.0,A121,37.0,A142,A152,1.0,A173,1.0,A191,A201,1
A13,10.0,A33,A45,1225.0,A61,A73,2.0,A93,A101,2.0,A123,37.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,9.0,A33,A44,458.0,A61,A73,4.0,A93,A101,3.0,A121,24.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,30.0,A33,A44,2333.0,A63,A75,4.0,A93,A101,2.0,A123,30.0,A141,A152,1.0,A174,1.0,A191,A201,0
A12,12.0,A33,A44,1158.0,A63,A73,3.0,A91,A101,1.0,A123,26.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,18.0,A34,A46,6204.0,A61,A73,2.0,A93,A101,4.0,A121,44.0,A143,A152,1.0,A172,2.0,A192,A201,0
A11,30.0,A35,A42,6187.0,A62,A74,1.0,A94,A101,4.0,A123,24.0,A143,A151,2.0,A173,1.0,A191,A201,0
A11,48.0,A35,A42,6143.0,A61,A75,4.0,A92,A101,4.0,A124,58.0,A142,A153,2.0,A172,1.0,A191,A201,1
A14,11.0,A35,A41,1393.0,A61,A72,4.0,A92,A101,4.0,A123,35.0,A143,A152,2.0,A174,1.0,A191,A201,0
A14,36.0,A33,A44,2299.0,A63,A75,4.0,A93,A101,4.0,A123,39.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,6.0,A33,A42,1352.0,A63,A71,1.0,A92,A101,2.0,A122,23.0,A143,A151,1.0,A171,1.0,A192,A201,0
A14,11.0,A35,A41,7228.0,A61,A73,1.0,A93,A101,4.0,A122,39.0,A143,A152,2.0,A172,1.0,A191,A201,0
A14,12.0,A33,A44,2073.0,A62,A73,4.0,A92,A102,2.0,A121,28.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,24.0,A34,A43,2333.0,A65,A72,4.0,A93,A101,2.0,A122,29.0,A141,A152,1.0,A172,1.0,A191,A201,0
A12,27.0,A34,A42,5965.0,A61,A75,1.0,A93,A101,2.0,A123,30.0,A143,A152,2.0,A174,1.0,A192,A201,0
A14,12.0,A33,A44,1262.0,A61,A73,3.0,A93,A101,2.0,A123,25.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,18.0,A33,A42,3378.0,A65,A73,2.0,A93,A101,1.0,A122,31.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,36.0,A34,A41,2225.0,A61,A75,4.0,A93,A101,4.0,A124,57.0,A141,A153,2.0,A173,1.0,A192,A201,1
A14,6.0,A32,A41,783.0,A65,A73,1.0,A93,A103,2.0,A121,26.0,A142,A152,1.0,A172,2.0,A191,A201,0
A12,12.0,A33,A44,6468.0,A65,A71,2.0,A93,A101,1.0,A124,52.0,A143,A152,1.0,A174,1.0,A192,A201,1
A14,36.0,A35,A44,9566.0,A61,A73,2.0,A92,A101,2.0,A123,31.0,A142,A152,2.0,A173,1.0,A191,A201,0
A13,18.0,A33,A41,1961.0,A61,A75,3.0,A92,A101,2.0,A123,23.0,A143,A152,1.0,A174,1.0,A191,A201,0
A11,36.0,A35,A43,6229.0,A61,A72,4.0,A92,A102,4.0,A124,23.0,A143,A151,2.0,A172,1.0,A192,A201,1
A12,9.0,A33,A410,1391.0,A61,A73,2.0,A94,A101,1.0,A121,27.0,A141,A152,1.0,A173,1.0,A192,A201,0
A12,15.0,A35,A44,1537.0,A65,A75,4.0,A93,A103,4.0,A121,50.0,A143,A152,2.0,A173,1.0,A192,A201,0
A12,36.0,A31,A410,1953.0,A61,A75,4.0,A93,A101,4.0,A124,61.0,A143,A153,1.0,A174,1.0,A192,A201,1
A12,48.0,A31,A410,14421.0,A61,A73,2.0,A93,A101,2.0,A123,25.0,A143,A152,1.0,A173,1.0,A192,A201,1
A14,24.0,A33,A44,3181.0,A61,A72,4.0,A92,A101,4.0,A122,26.0,A143,A152,1.0,A173,1.0,A192,A201,0
A14,27.0,A33,A46,5190.0,A65,A75,4.0,A93,A101,4.0,A122,48.0,A143,A152,4.0,A173,2.0,A192,A201,0
A14,12.0,A33,A44,2171.0,A61,A72,2.0,A92,A101,2.0,A123,29.0,A141,A152,1.0,A173,1.0,A191,A201,0
A12,12.0,A33,A41,1007.0,A64,A73,4.0,A94,A101,1.0,A121,22.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,36.0,A33,A47,1819.0,A61,A73,4.0,A93,A101,4.0,A124,37.0,A142,A153,1.0,A173,1.0,A192,A201,1
A14,36.0,A33,A44,2394.0,A65,A73,4.0,A92,A101,4.0,A123,25.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,36.0,A33,A42,8133.0,A61,A73,1.0,A92,A101,2.0,A122,30.0,A141,A152,1.0,A173,1.0,A191,A201,0
A14,7.0,A35,A44,730.0,A65,A75,4.0,A93,A101,2.0,A122,46.0,A143,A151,2.0,A172,1.0,A192,A201,0
A11,8.0,A35,A411,1164.0,A61,A75,3.0,A93,A101,4.0,A124,51.0,A141,A153,2.0,A174,2.0,A192,A201,0
A12,42.0,A35,A410,5954.0,A61,A74,2.0,A92,A101,1.0,A121,41.0,A141,A152,2.0,A172,1.0,A191,A201,0
A11,36.0,A33,A47,1977.0,A65,A75,4.0,A93,A101,4.0,A124,40.0,A143,A152,1.0,A174,1.0,A192,A201,1
A11,12.0,A35,A42,1526.0,A61,A75,4.0,A93,A101,4.0,A124,66.0,A143,A153,2.0,A174,1.0,A191,A201,0
A11,42.0,A33,A44,3965.0,A61,A72,4.0,A93,A101,3.0,A123,34.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,11.0,A34,A44,4771.0,A61,A74,2.0,A93,A101,4.0,A122,51.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,54.0,A31,A42,9436.0,A65,A73,2.0,A93,A101,2.0,A122,39.0,A143,A152,1.0,A172,2.0,A191,A201,0
A12,30.0,A33,A43,3832.0,A61,A72,2.0,A94,A101,1.0,A122,22.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,24.0,A33,A44,5943.0,A65,A72,1.0,A92,A101,1.0,A123,44.0,A143,A152,2.0,A173,1.0,A192,A201,1
A14,15.0,A33,A44,1213.0,A63,A75,4.0,A93,A101,3.0,A122,47.0,A142,A152,1.0,A173,1.0,A192,A201,0
A14,18.0,A33,A410,1568.0,A62,A73,3.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A172,1.0,A191,A201,0
A11,24.0,A33,A411,1755.0,A61,A75,4.0,A92,A103,4.0,A121,58.0,A143,A152,1.0,A172,1.0,A192,A201,0
A11,10.0,A33,A44,2315.0,A61,A75,3.0,A93,A101,4.0,A121,52.0,A143,A152,1.0,A172,1.0,A191,A201,0
A14,12.0,A35,A410,1412.0,A61,A73,4.0,A92,A103,2.0,A121,29.0,A143,A152,2.0,A174,1.0,A192,A201,0
A12,18.0,A35,A43,1295.0,A61,A72,4.0,A92,A101,1.0,A122,27.0,A143,A152,2.0,A173,1.0,A191,A201,0
A12,36.0,A33,A47,12612.0,A62,A73,1.0,A93,A101,4.0,A124,47.0,A143,A153,1.0,A173,2.0,A192,A201,1
A11,18.0,A33,A41,2249.0,A62,A74,4.0,A93,A101,3.0,A123,30.0,A143,A152,1.0,A174,2.0,A192,A201,0
A11,12.0,A31,A46,1108.0,A61,A74,4.0,A93,A101,3.0,A121,28.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,12.0,A35,A44,618.0,A61,A75,4.0,A93,A101,4.0,A121,56.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,12.0,A35,A42,1409.0,A61,A75,4.0,A93,A101,3.0,A121,54.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,12.0,A35,A44,797.0,A65,A75,4.0,A92,A101,3.0,A122,33.0,A141,A152,1.0,A172,2.0,A191,A201,1
A13,24.0,A35,A43,3617.0,A65,A75,4.0,A93,A102,4.0,A124,20.0,A143,A151,2.0,A173,1.0,A191,A201,0
A12,12.0,A33,A41,1318.0,A64,A75,4.0,A93,A101,4.0,A121,54.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,54.0,A31,A410,15945.0,A61,A72,3.0,A93,A101,4.0,A124,58.0,A143,A151,1.0,A173,1.0,A192,A201,1
A14,12.0,A35,A47,2012.0,A65,A74,4.0,A92,A101,2.0,A123,61.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,18.0,A33,A410,2622.0,A62,A73,4.0,A93,A101,4.0,A123,34.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,36.0,A35,A44,2337.0,A61,A75,4.0,A93,A101,4.0,A121,36.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,20.0,A34,A42,7057.0,A65,A74,3.0,A93,A101,4.0,A122,36.0,A141,A151,2.0,A174,2.0,A192,A201,0
A14,24.0,A33,A41,1469.0,A62,A75,4.0,A94,A101,4.0,A121,41.0,A143,A151,1.0,A172,1.0,A191,A201,0
A12,36.0,A33,A44,2323.0,A61,A74,4.0,A93,A101,4.0,A123,24.0,A143,A151,1.0,A173,1.0,A191,A201,0
A14,6.0,A34,A44,932.0,A61,A73,3.0,A92,A101,2.0,A121,24.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,9.0,A35,A43,1919.0,A61,A74,4.0,A93,A101,3.0,A123,35.0,A143,A151,1.0,A173,1.0,A192,A201,0
A14,12.0,A33,A42,2445.0,A65,A72,2.0,A94,A101,4.0,A123,26.0,A143,A151,1.0,A173,1.0,A192,A201,0
A12,24.0,A35,A411,11938.0,A61,A73,2.0,A93,A102,3.0,A123,39.0,A143,A152,2.0,A174,2.0,A192,A201,1
A14,18.0,A32,A41,6458.0,A61,A75,2.0,A93,A101,4.0,A124,39.0,A141,A152,2.0,A174,2.0,A192,A201,1
A12,12.0,A33,A41,6078.0,A61,A74,2.0,A93,A101,2.0,A123,32.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,24.0,A33,A43,7721.0,A65,A72,1.0,A92,A101,2.0,A122,30.0,A143,A152,1.0,A173,1.0,A192,A202,0
A12,14.0,A33,A410,1410.0,A63,A75,1.0,A94,A101,2.0,A121,35.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,6.0,A34,A410,1449.0,A62,A75,1.0,A91,A101,2.0,A123,31.0,A141,A152,2.0,A173,2.0,A191,A201,0
A13,15.0,A33,A47,392.0,A61,A72,4.0,A92,A101,4.0,A122,23.0,A143,A151,1.0,A173,1.0,A192,A201,0
A12,18.0,A33,A41,6260.0,A61,A74,3.0,A93,A101,3.0,A121,28.0,A143,A151,1.0,A172,1.0,A191,A201,0
A14,36.0,A35,A41,7855.0,A61,A73,4.0,A92,A101,2.0,A121,25.0,A142,A152,2.0,A173,1.0,A192,A201,1
A11,12.0,A33,A44,1680.0,A63,A75,3.0,A94,A101,1.0,A121,35.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,48.0,A35,A44,3578.0,A65,A75,4.0,A93,A101,1.0,A121,47.0,A143,A152,1.0,A173,1.0,A192,A201,0
A11,42.0,A33,A44,7174.0,A65,A74,4.0,A92,A101,3.0,A123,30.0,A143,A152,1.0,A174,1.0,A192,A201,1
A11,10.0,A35,A43,2132.0,A65,A72,2.0,A92,A102,3.0,A121,27.0,A143,A151,2.0,A173,1.0,A191,A202,0
A11,33.0,A35,A43,4281.0,A63,A73,1.0,A92,A101,4.0,A123,23.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,12.0,A35,A41,2366.0,A63,A74,3.0,A91,A101,3.0,A123,36.0,A143,A152,1.0,A174,1.0,A192,A201,0
A11,21.0,A33,A44,1835.0,A61,A73,3.0,A92,A101,2.0,A121,25.0,A143,A152,2.0,A173,1.0,A192,A201,1
A14,24.0,A35,A42,3868.0,A61,A75,4.0,A92,A101,2.0,A123,41.0,A143,A151,2.0,A174,1.0,A192,A201,0
A14,12.0,A33,A43,1768.0,A61,A73,3.0,A93,A101,2.0,A121,24.0,A143,A151,1.0,A172,1.0,A191,A201,0
A13,10.0,A35,A41,781.0,A61,A75,4.0,A93,A101,4.0,A124,63.0,A143,A153,2.0,A173,1.0,A192,A201,0
A12,18.0,A33,A43,1924.0,A65,A72,4.0,A92,A101,3.0,A121,27.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,12.0,A35,A41,2121.0,A61,A73,4.0,A93,A101,2.0,A122,30.0,A143,A152,2.0,A173,1.0,A191,A201,0
A11,12.0,A33,A44,701.0,A61,A73,4.0,A94,A101,2.0,A121,40.0,A143,A152,1.0,A172,1.0,A191,A201,0
A12,12.0,A33,A46,639.0,A61,A73,4.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,12.0,A35,A42,1860.0,A61,A71,4.0,A93,A101,2.0,A123,34.0,A143,A152,2.0,A174,1.0,A192,A201,0
A11,12.0,A35,A41,3499.0,A61,A73,3.0,A92,A102,2.0,A121,29.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,48.0,A33,A41,8487.0,A65,A74,1.0,A92,A101,2.0,A123,24.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,36.0,A34,A47,6887.0,A61,A73,4.0,A93,A101,3.0,A122,29.0,A142,A152,1.0,A173,1.0,A192,A201,1
A14,15.0,A33,A43,2708.0,A61,A72,2.0,A93,A101,3.0,A122,27.0,A141,A152,2.0,A172,1.0,A191,A201,0
A14,18.0,A33,A43,1984.0,A61,A73,4.0,A93,A101,4.0,A124,47.0,A141,A153,2.0,A173,1.0,A191,A201,0
A14,60.0,A33,A44,10144.0,A62,A74,2.0,A92,A101,4.0,A121,21.0,A143,A152,1.0,A173,1.0,A192,A201,0
A14,12.0,A35,A44,1240.0,A65,A75,4.0,A92,A101,2.0,A121,38.0,A143,A152,2.0,A173,1.0,A192,A201,0
A14,27.0,A34,A42,8613.0,A64,A73,2.0,A93,A101,2.0,A123,27.0,A143,A152,2.0,A173,1.0,A191,A201,0
A12,12.0,A33,A44,766.0,A63,A73,4.0,A93,A101,3.0,A121,66.0,A143,A152,1.0,A172,1.0,A191,A201,1
A12,15.0,A35,A44,2728.0,A65,A74,4.0,A93,A103,2.0,A121,35.0,A141,A152,3.0,A173,1.0,A192,A201,0
A13,12.0,A33,A44,1881.0,A61,A73,2.0,A92,A101,2.0,A123,44.0,A143,A151,1.0,A172,1.0,A192,A201,0
A13,6.0,A33,A41,709.0,A64,A72,2.0,A94,A101,2.0,A121,27.0,A143,A152,1.0,A171,1.0,A191,A202,0
A12,36.0,A33,A44,4795.0,A61,A72,4.0,A92,A101,1.0,A124,30.0,A143,A152,1.0,A174,1.0,A192,A201,0
A11,27.0,A33,A44,3416.0,A61,A73,3.0,A93,A101,2.0,A123,27.0,A143,A152,1.0,A174,1.0,A191,A201,0
A11,18.0,A33,A43,2462.0,A61,A73,2.0,A93,A101,2.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A201,1
A14,21.0,A35,A43,2288.0,A61,A72,4.0,A92,A101,4.0,A122,23.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,48.0,A32,A410,3566.0,A62,A74,4.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,6.0,A35,A41,860.0,A61,A75,1.0,A92,A101,4.0,A124,39.0,A143,A152,2.0,A173,1.0,A192,A201,0
A14,12.0,A35,A41,682.0,A62,A74,4.0,A92,A101,3.0,A123,51.0,A143,A152,2.0,A173,1.0,A192,A201,0
A11,36.0,A35,A43,5371.0,A61,A73,3.0,A93,A103,2.0,A122,28.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,18.0,A35,A44,1582.0,A64,A75,4.0,A93,A101,4.0,A123,46.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,6.0,A33,A44,1346.0,A62,A75,2.0,A93,A101,4.0,A124,42.0,A141,A153,1.0,A173,2.0,A192,A201,0
A14,10.0,A33,A44,1924.0,A61,A73,1.0,A93,A101,4.0,A122,38.0,A143,A152,1.0,A173,1.0,A192,A202,0
A13,36.0,A33,A44,5848.0,A61,A73,4.0,A93,A101,1.0,A123,24.0,A143,A152,1.0,A173,1.0,A191,A201,0
A12,24.0,A35,A42,7758.0,A64,A75,2.0,A92,A101,4.0,A124,29.0,A143,A151,1.0,A173,1.0,A191,A201,0
A12,24.0,A34,A410,6967.0,A62,A74,4.0,A93,A101,4.0,A123,36.0,A143,A151,1.0,A174,1.0,A192,A201,0
A11,12.0,A33,A43,1282.0,A61,A73,2.0,A92,A101,4.0,A123,20.0,A143,A151,1.0,A173,1.0,A191,A201,1
A11,9.0,A35,A46,1288.0,A62,A75,3.0,A93,A103,4.0,A121,48.0,A143,A152,2.0,A173,2.0,A191,A202,0
A11,12.0,A32,A49,339.0,A61,A75,4.0,A94,A101,1.0,A123,45.0,A141,A152,1.0,A172,1.0,A191,A201,0
A12,24.0,A33,A41,3512.0,A62,A74,2.0,A93,A101,3.0,A123,38.0,A141,A152,2.0,A173,1.0,A192,A201,0
A14,6.0,A35,A44,1898.0,A65,A73,1.0,A93,A101,2.0,A121,34.0,A143,A152,2.0,A172,2.0,A191,A201,0
A14,24.0,A35,A44,2872.0,A62,A75,3.0,A93,A101,4.0,A121,36.0,A143,A152,1.0,A173,2.0,A192,A201,0
A14,18.0,A35,A41,1055.0,A61,A72,4.0,A92,A101,1.0,A122,30.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,15.0,A33,A45,1262.0,A63,A74,4.0,A93,A101,3.0,A122,36.0,A143,A152,2.0,A173,1.0,A192,A201,0
A12,10.0,A33,A41,7308.0,A61,A71,2.0,A93,A101,4.0,A124,70.0,A141,A153,1.0,A174,1.0,A192,A201,0
A14,36.0,A33,A41,909.0,A63,A75,4.0,A93,A101,4.0,A122,36.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,6.0,A33,A43,2978.0,A63,A73,1.0,A93,A101,2.0,A123,32.0,A143,A152,1.0,A173,1.0,A192,A201,0
A11,18.0,A33,A43,1131.0,A61,A71,4.0,A92,A101,2.0,A123,33.0,A143,A152,1.0,A173,1.0,A191,A201,1
A12,11.0,A33,A43,1577.0,A64,A72,4.0,A92,A101,1.0,A121,20.0,A143,A152,1.0,A173,1.0,A191,A201,0
A14,24.0,A33,A43,3972.0,A61,A74,2.0,A92,A101,4.0,A122,25.0,A143,A151,1.0,A173,1.0,A192,A201,0
A12,24.0,A35,A410,1935.0,A61,A75,4.0,A91,A101,4.0,A121,31.0,A143,A152,2.0,A173,1.0,A192,A201,1
A11,15.0,A31,A41,950.0,A61,A75,4.0,A93,A101,3.0,A123,33.0,A143,A151,2.0,A173,2.0,A191,A201,1
A14,12.0,A33,A43,763.0,A61,A73,4.0,A92,A101,1.0,A121,26.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,24.0,A34,A43,2064.0,A61,A71,3.0,A92,A101,2.0,A122,34.0,A143,A152,1.0,A174,1.0,A192,A201,1
A12,8.0,A33,A44,1414.0,A61,A73,4.0,A93,A103,2.0,A121,33.0,A143,A152,1.0,A173,1.0,A191,A202,0
A11,21.0,A34,A47,3414.0,A61,A72,2.0,A93,A101,1.0,A122,26.0,A143,A152,2.0,A173,1.0,A191,A201,1
A14,30.0,A32,A42,7485.0,A65,A71,4.0,A92,A101,1.0,A121,53.0,A141,A152,1.0,A174,1.0,A192,A201,1
A11,12.0,A33,A43,2577.0,A61,A73,2.0,A91,A101,1.0,A123,42.0,A143,A152,1.0,A173,1.0,A191,A201,0
A11,6.0,A35,A44,338.0,A63,A75,4.0,A93,A101,4.0,A123,52.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,12.0,A33,A44,1963.0,A61,A74,4.0,A93,A101,2.0,A123,31.0,A143,A151,2.0,A174,2.0,A192,A201,0
A11,21.0,A35,A41,571.0,A61,A75,4.0,A93,A101,4.0,A121,65.0,A143,A152,2.0,A173,1.0,A191,A201,0
A14,36.0,A34,A410,9572.0,A61,A72,1.0,A91,A101,1.0,A123,28.0,A143,A152,2.0,A173,1.0,A191,A201,1
A12,36.0,A34,A410,4455.0,A61,A73,2.0,A91,A101,2.0,A121,30.0,A142,A152,2.0,A174,1.0,A192,A201,1
A11,21.0,A32,A41,1647.0,A65,A73,4.0,A93,A101,2.0,A122,40.0,A143,A152,2.0,A172,2.0,A191,A201,1
A14,24.0,A35,A43,3777.0,A64,A73,4.0,A93,A101,4.0,A121,50.0,A143,A152,1.0,A173,1.0,A192,A201,0
A12,18.0,A35,A41,884.0,A61,A75,4.0,A93,A101,4.0,A123,36.0,A141,A152,1.0,A173,2.0,A192,A201,1
